id,year,title,url,read_depth,supports
P01,2019,Xu et al. — Modeling Tabular Data using Conditional GAN,https://papers.neurips.cc/paper_files/paper/2019/hash/254ed7d2de3b23ab10936522dd547b78-Abstract.html,Publisher abstract and paper introduction/method excerpt,"Mixed feature types, conditional GAN approach, TVAE comparison and task-based evaluation; published benchmark not reproduced."
P02,2017,"Ping, Stoyanovich and Howe — DataSynthesizer: Privacy-Preserving Synthetic Datasets",https://faculty.washington.edu/billhowe/publications/pdfs/ping17datasynthesizer.pdf,Paper architecture/method sections plus installed source,Description/generation/inspection separation and independent/Bayesian modes; local execution is separately documented.
P03,2016,"Nowok, Raab and Dibben — synthpop: Bespoke Creation of Synthetic Data in R",https://www.jstatsoft.org/article/view/v074i11,Publisher page and author project methodology,Sequential conditional synthesis is an established alternative; no local R experiment.
P04,2023,Watson et al. — Adversarial Random Forests for Density Estimation and Generative Modeling,https://proceedings.mlr.press/v206/watson23a.html,Publisher abstract; Python implementation inspected and run,Tree-based iterative generation/discrimination and reported authors’ benchmark results; no reproduced two-orders-of-magnitude claim.
P05,2022,McKenna et al. — AIM: An Adaptive and Iterative Mechanism for Differentially Private Synthetic Data,https://arxiv.org/abs/2201.12677,Original author abstract screened,Adaptive private query measurement and generation; no local AIM utility or privacy result.
P06,2021,McKenna et al. — Winning the NIST Contest: A Scalable and General Approach to Differentially Private Synthetic Data,https://arxiv.org/abs/2108.04978,Original author abstract screened,MST/NIST-MST context; no assertion of universal superiority.
P07,2022,"Stadler, Oprisanu and Troncoso — Synthetic Data: Anonymisation Groundhog Day",https://www.usenix.org/conference/usenixsecurity22/presentation/stadler,Publisher abstract and original paper discovery,Empirical privacy/utility failure modes for evaluated models; not a theorem against all synthesis.
P08,2025,A Scoping Review of Privacy and Utility Metrics in Medical Synthetic Data,https://www.nature.com/articles/s41746-024-01359-3,Results/discussion retrieved earlier in this session; later fetch redirected,Evidence of evaluation gaps and limitations of similarity-based privacy measures. Healthcare scope is not the platform scope.
P09,2023,Kotelnikov et al. — TabDDPM: Modelling Tabular Data with Diffusion Models,https://proceedings.mlr.press/v202/kotelnikov23a/kotelnikov23a.pdf,Original abstract/method overview and repository,Mixed-feature diffusion family; not locally trained.
P10,2024,Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space (TabSyn),https://proceedings.iclr.cc/paper_files/paper/2024/hash/e9750610639c3e7a849cff746bf60dbd-Abstract-Conference.html,Publisher abstract and official repository screened,Latent VAE plus diffusion approach; reported quality/speed not replicated.
P11,2023,Borisov et al. — Language Models are Realistic Tabular Data Generators (GReaT),https://arxiv.org/abs/2210.06280,Original abstract and published ICLR paper excerpt,Fine-tuning for tabular synthesis and conditioning; distinct from a general chat assistant.
P12,2023,Solatorio and Dupriez — REaLTabFormer: Generating Realistic Relational and Tabular Data using Transformers,https://arxiv.org/abs/2302.02041,Original abstract and official repository/docs,Tabular and relational transformer approach; topology-specific validation still needed.
P13,2019,"Yoon, Jarrett and van der Schaar — Time-series Generative Adversarial Networks",https://proceedings.neurips.cc/paper/2019/hash/c9efe5f26cd17ba6216bbe2a7d26d490-Abstract.html,Publisher abstract and method excerpt,Temporal embedding with supervised/adversarial objectives; not locally trained.
P14,2019 preprint,"Using GANs for Sharing Networked Time Series Data: Challenges, Initial Promise, and Open Questions (DoppelGANger)",https://arxiv.org/abs/1909.13403,Original author abstract screened,Networked sequence fidelity and privacy challenges; local sensor scenario is not a replication.
P15,2023,Qian et al. — Synthcity: Facilitating Innovative Use Cases of Synthetic Data in Different Data Modalities,https://arxiv.org/abs/2301.07573,Original abstract plus current repository and plugin source,Common plugin access across model families; broad scope alone does not determine integration fit.
P16,2026 preprint,Zhang et al. — TabQueryBench: A Query-Centric Benchmark for Synthetic Tabular Data,https://arxiv.org/abs/2607.03926,Original abstract screened,Recent query-workload evaluation gap; no local reproduction or assumed peer review.
P17,2024,Decruyenaere et al. — The Real Deal Behind the Artificial Appeal: Inferential Utility of Tabular Synthetic Data,https://proceedings.mlr.press/v244/decruyenaere24a.html,Publisher abstract screened,Statistical inference deserves separate evaluation from prediction.
P18,2024 preprint,Are LLMs Naturally Good at Synthetic Tabular Data Generation?,https://arxiv.org/abs/2406.14541,Original abstract screened,Evidence of tabular-dependency limitations under the authors’ tested LLM setups; not a universal result.
T01,snapshot 2026-09-20,Copulas,https://github.com/sdv-dev/Copulas/tree/83a004b63323026e47c11d683695f23c5f804412,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T02,snapshot 2026-09-20,DataSynthesizer,https://github.com/DataResponsibly/DataSynthesizer/tree/b969f618015d6313d03e109ad58aae2f8b12124d,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T03,snapshot 2026-09-20,Synthcity,https://github.com/vanderschaarlab/synthcity/tree/23f322fe381326ed01c41b13d469a06e38cce545,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T04,snapshot 2026-09-20,SmartNoise SDK,https://github.com/opendp/smartnoise-sdk/tree/677d0bb13ed6f51941739693f3d528eefc6efacf,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T05,snapshot 2026-09-20,SDV,https://github.com/sdv-dev/SDV/tree/cb6229d83921a1cf35e7cc5b4f947bc0e03699bd,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T06,snapshot 2026-09-20,CTGAN,https://github.com/sdv-dev/CTGAN/tree/66e5686fbc55a55eb137253dce115946f5785ba2,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T07,snapshot 2026-09-20,SDMetrics,https://github.com/sdv-dev/SDMetrics/tree/d35c170f1570387cf42085fc6c9316dad5c23a7a,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T08,snapshot 2026-09-20,Synthea,https://github.com/synthetichealth/synthea/tree/d9d07a6eef91ee5144293b42ab64224d84d124f8,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T09,snapshot 2026-09-20,TAPAS,https://github.com/alan-turing-institute/tapas/tree/a7069d7e040828db0da174d1b003fa03a98e5453,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T10,snapshot 2026-09-20,Faker,https://github.com/joke2k/faker/tree/975dd2a11d7f083cb028e2f07478ab401b5fde17,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
T11,snapshot 2026-09-20,REaLTabFormer,https://github.com/worldbank/REaLTabFormer/tree/73f239643f9ea5abc877f685ce927e986302ac2d,README and license captured; source/execution where specified in tool report,Version-specific documented scope and license; see tool matrix and source traces.
